questions,reponses
Quels sont les objectifs pédagogiques des formations en Génie Chimique offertes par le Département ?,"Pour répondre aux besoins des industries chimiques, alimentaires et des laboratoires d'analyses et de contrôle, le Département Génie Chimique et Biologie Appliquée a mis en place différentes formations pour : le personnel technique du niveau DUT (Diplôme Universitaire de Technologie) en Génie Chimique, en Industries Alimentaires et en Analyses Biologiques, le personnel d'encadrement du niveau DIC (Diplôme d'Ingénieur Technologie) en Génie des procédés appliqué aux industries chimiques et aux industries agroalimentaire. Grâce à leur solide formation en sciences fondamentales et en sciences de l'ingénieur, ils sauront conduire et contrôler toutes les activités qui touchent le domaine du génie des procédés. Formés aux sciences humaines et à la gestion des entreprises, aux langues étrangères, aux nouvelles technologies de l'information et de la communication, les diplômés du Département Génie Chimique et Biologie Appliquée seront les cadres indispensables à l'entreprise, capables de manager une équipe, de tisser de véritables relations humaines et sociales mais également de transmettre leurs connaissances. Ils seront capables de dialoguer avec les différents spécialistes qui interviennent dans les différentes étapes du process industriel."
Quels sont les niveaux de formation disponibles en Génie Chimique dans le Département ?,"Pour répondre aux besoins des industries chimiques, alimentaires et des laboratoires d'analyses et de contrôle, le Département Génie Chimique et Biologie Appliquée a mis en place différentes formations pour : le personnel technique du niveau DUT (Diplôme Universitaire de Technologie) en Génie Chimique, en Industries Alimentaires et en Analyses Biologiques, le personnel d'encadrement du niveau DIC (Diplôme d'Ingénieur Technologie) en Génie des procédés appliqué aux industries chimiques et aux industries agroalimentaire. Grâce à leur solide formation en sciences fondamentales et en sciences de l'ingénieur, ils sauront conduire et contrôler toutes les activités qui touchent le domaine du génie des procédés. Formés aux sciences humaines et à la gestion des entreprises, aux langues étrangères, aux nouvelles technologies de l'information et de la communication, les diplômés du Département Génie Chimique et Biologie Appliquée seront les cadres indispensables à l'entreprise, capables de manager une équipe, de tisser de véritables relations humaines et sociales mais également de transmettre leurs connaissances. Ils seront capables de dialoguer avec les différents spécialistes qui interviennent dans les différentes étapes du process industriel."
Quelles compétences les étudiants acquièrent-ils en suivant les formations du Département Génie Chimique ?,"Grâce à leur solide formation en sciences fondamentales et en sciences de l'ingénieur, les étudiants sauront conduire et contrôler toutes les activités qui touchent le domaine du génie des procédés. Formés aux sciences humaines et à la gestion des entreprises, aux langues étrangères, aux nouvelles technologies de l'information et de la communication, les diplômés du Département Génie Chimique et Biologie Appliquée seront les cadres indispensables à l'entreprise, capables de manager une équipe, de tisser de véritables relations humaines et sociales mais également de transmettre leurs connaissances. Ils seront capables de dialoguer avec les différents spécialistes qui interviennent dans les différentes étapes du process industriel."
Qui est le chef du département Génie Chimique ?,Le chef du département du Génie Chimique est : M. Saidou Moustapha SALL
Quels sont les domaines couverts par le Département de Génie Électrique ?,"Le Département couvre les domaines de l'électronique, de l'électrotechnique, des automatismes et de l'informatique industrielle."
Quels types de diplômes offre le Département de Génie Électrique ?,Le Département offre des formations pour devenir technicien supérieur et ingénieur de conception.
Combien d'enseignants compte le Département de Génie Électrique et quels sont leurs niveaux ?,"Le Département compte 21 enseignants, dont 20 de spécialité répartis en différentes catégories : 03 professeurs, 03 maîtres de conférences, 07 maîtres-assistants, 04 assistants dont deux titulaires, 01 professeur technique agrégé et 03 chefs de travaux."
"Quel est le rôle du personnel administratif, technique et de service au sein du Département ?","Le Département dispose de 02 PAS et 06 PT, dont 01 ingénieur de conception, 01 ingénieur technologue et 04 techniciens dont 03 supérieurs, qui assurent le support administratif, technique et de service."
Quelles sont les possibilités d'évolution de carrière offertes par le Département de Génie Électrique ?,"Le Département vise à faciliter la mobilité et l'évolution de carrière des diplômés, en leur permettant de s'adapter à une grande variété d'emplois et en offrant la possibilité de poursuivre des études ultérieures."
Comment le Département est-il soutenu au niveau des enseignements ?,Le Département est appuyé par des vacataires pour compléter les enseignements dispensés.
Quels sont les secteurs d'activité dans lesquels les diplômés du Département de Génie Électrique peuvent travailler ?,"Les diplômés peuvent travailler dans des secteurs aussi divers que la production, les services, les études, la recherche appliquée et les expertises."
Qui est le chef du département Génie Électrique ?,Le chef du département Génie Électrique est M. Khally TALL
Quels sont les objectifs du Département Informatique en termes de formation ?,"Le Département Informatique a pour missions de : former des Techniciens supérieurs, Assistants ingénieurs, des Ingénieurs en Informatique Télé-Informatique et en Télécommunication ; mener des activités de recherche dans les domaines sus-mentionnés visant au perfectionnement permanent, à l'adaptation et à la participation à l'évolution scientifique et technologique ; procéder à des expertises dans le cadre de la formation à l'intention des entreprises publiques et privées."
Comment peut on contacter le departement Genie Informatique ?,Vous pouvez contacter le departement Genie Informatique par mail ou par appel direct. Le mail du departement Genie Informatique est: genie.informatique@esp.sn et leur contact est 00221 33 824 05 40
Comment peut on contacter le departement Genie Mecanique ?,Vous pouvez contacter le departement Genie Mecanique par mail ou par appel direct. Le mail du departement Genie Mecanique est: genie.mecanique@esp.sn et leur contact est 00221 33 824 05 40
Comment peut on contacter le departement Genie Electrique ?,Vous pouvez contacter le departement Genie Electrique par mail ou par appel direct. Le mail du departement Genie Electrique est: genie.electrique@esp.sn et leur contact est 00221 33 824 05 40
Comment peut on contacter le departement Genie Civil ?,Vous pouvez contacter le departement Genie Civil par mail ou par appel direct. Le mail du departement Genie Civil est: genie.civil@esp.sn et leur contact est 00221 33 824 05 40
Comment peut on contacter le departement Genie Chimique ?,Vous pouvez contacter le departement Genie Chimique par mail ou par appel direct. Le mail du departement Genie Chimique est: genie.chimique@esp.sn et leur contact est 00221 33 824 05 40
Comment peut on contacter le departement Gestion ?,Vous pouvez contacter le departement Gestion par mail ou par appel direct. Le mail du departement Gestion est: genie.gestion@esp.sn et leur contact est 00221 33 824 05 40
Qui est le chef du departement Genie Informatique ?,Le chef du departement Genie Informatique est Pr Ibrahima FALL
Qui est le chef du departement Genie Mecanique ?,Le chef du departement Genie Mecanique est M. Ousmane SOW
Qui est le chef du departement Genie Electrique ?,Le chef du departement Genie Informatique est M. Khaly TALL
Qui est le chef du departement Genie Civil ?,Le chef du departement Genie Civil est Libasse SOW
Qui est le chef du departement Genie Chimique ?,Le chef du departement Genie Chimique est M Saidou Moustapha SALL
Quelles sont les formations qu'offre le departement genie Mecanique de l'ESP ?,"Les formations qu'offre le departement genie Mecanique de l'ESP sont : Master En Bases Erienne Civile (MBAC), Licence Professionnelle Transport Logistique et Mobilite, Diplome d'Ingenieur Technologue, Diplome Universitaire de Technologie, Licence Professionnelle en Energie Renouvelable, Master de Recherche, Licence Professionnnelle Conducteur des travaux en BTP, Licence Professionnelle en Genie Civil Option Geometre Topographe."
Quelles sont les formations qu'offre le departement genie Informatique de l'ESP ?,"Les formations qu'offre le departement genie Informatique de l'ESP sont : Licence Genie des Donnees Technologies, Diplome d'Ingenieur de Technologie, Master en Securite et Systeme d'Information, Master en Intelligence Artificielle et Big Data, Master en Securite et Systeme d'Information, Master de Recherche Sciences de l'Ingenieur, Master en Securite et Systeme d'Information, Licence Professionelle et Genie Logiciel, Licence Professionnelle en Systeme, Reseaux "
Quelles sont les formations qu'offre le departement genie chimique de l'ESP ?,"Les formations qu'offre le departement genie Chimique de l'ESP sont: Diplôme Universitaire de Technologie (DUT) en Génie Chimique : Ce programme est conçu pour les étudiants ayant un niveau Bac+2. Il fournit une base solide en techniques et procédés chimiques. Diplôme Supérieur de Technologie (DST) en Génie Chimique : Un autre programme Bac+2, orienté vers une formation plus spécialisée et technique dans le domaine du génie chimique. Licence (Bac+3) en Génie Chimique : Ce programme de trois ans permet aux étudiants de développer des compétences avancées et une connaissance approfondie des procédés chimiques et des technologies associées. Diplôme d’Ingénieur Technologue (DIT) en Génie Chimique : Ce programme Bac+4 prépare les étudiants à des rôles techniques et de gestion dans l'industrie chimique, combinant des connaissances théoriques et des compétences pratiques. Diplôme d’Ingénieur de Conception (DIC) en Génie Chimique : Ce programme de niveau Bac+5 vise à former des ingénieurs capables de concevoir, optimiser et gérer des procédés chimiques complexes. Master en Génie Chimique : Destiné aux étudiants ayant complété une licence, ce programme de deux ans (Bac+5) se concentre sur des aspects avancés du génie chimique, incluant la recherche et l'innovation."
Quelles sont les formations qu'offre le departement de gestion de l'ESP ?,"Les formations qu'offre le departement de gestion Civil de l'ESP sont: Diplôme Universitaire de Technologie (DUT) en Génie Civil : Niveau : Bac+2 Durée : 2 ans Diplôme Supérieur de Technologie (DST) en Génie Civil : Niveau : Bac+2 Durée : 2 ans Licence Professionnelle en Génie Civil option Géomètre Topographe : Niveau : Bac+3 Durée : 1 an Contenu : Sciences géographiques, photogrammétrie, télédétection, topographie, DAO, droit foncier, hydraulique, stage professionnel Diplôme d'Ingénieur Technologue (DIT) en Génie Civil : Niveau : Bac+4 Durée : 4 ans Contenu : Mathématiques et sciences physiques, mise à niveau technologique, génie urbain, communication, management, calcul de structures, hydraulique Diplôme d’Ingénieur de Conception (DIC) en Génie Civil : Niveau : Bac+5 Durée : 5 ans"
Quelles sont les formations qu'offre le departement genie Electrique de l'ESP ?,Les formations qu'offre le departement genie Electrique de l'ESP sont: 
